Location,Population,Velocity
1,341948,4.81
2,1092759,5.88
3,5491,3.31
4,49375,4.9
5,1340000,5.62
6,365,2.76
7,2500,2.27
8,78200,3.85
9,861023,5.21
10,14000,3.7
11,23700,3.27
12,70700,4.31
13,304500,4.42
14,138000,4.39
15,2602000,5.05
